match_type	crash_name	crash_addr	crash_size	lsw1_fn	lsw1_addr	lsw1_size
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_80039BE0	0x80039be0	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_80039CA4	0x80039ca4	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_80039CA8	0x80039ca8	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_80039CAC	0x80039cac	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_80043F9C	0x80043f9c	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_80044B20	0x80044b20	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_80044D0C	0x80044d0c	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_80044D48	0x80044d48	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_80044D8C	0x80044d8c	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_80044F24	0x80044f24	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_80045000	0x80045000	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_8004504C	0x8004504c	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_800472FC	0x800472fc	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_80049A10	0x80049a10	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_80066290	0x80066290	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_80066494	0x80066494	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_8006DF18	0x8006df18	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_8007483C	0x8007483c	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_8009CF2C	0x8009cf2c	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_8009CFF0	0x8009cff0	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_8009CFF4	0x8009cff4	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_8009D238	0x8009d238	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_800AFF54	0x800aff54	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_800B5948	0x800b5948	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_800E631C	0x800e631c	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_80146F1C	0x80146f1c	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_801508F4	0x801508f4	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_801623B8	0x801623b8	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_801680C8	0x801680c8	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_8017203C	0x8017203c	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_801733E4	0x801733e4	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_80174040	0x80174040	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_80174CF8	0x80174cf8	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_80175F78	0x80175f78	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_8017C754	0x8017c754	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_8017C758	0x8017c758	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_8017C774	0x8017c774	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_8017C778	0x8017c778	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_80182624	0x80182624	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_8018A10C	0x8018a10c	0x0004
exact	SS_SetChannelPitch	0x800cdc88	0x0004	fn_8018A110	0x8018a110	0x0004
exact	tbsetCreate	0x800cf2f4	0x0008	fn_80024DC0	0x80024dc0	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_80024F10	0x80024f10	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_80027688	0x80027688	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_80027BE4	0x80027be4	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_8002C244	0x8002c244	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_80039D28	0x80039d28	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_8003A214	0x8003a214	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_8003A21C	0x8003a21c	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_8003A224	0x8003a224	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_8003A22C	0x8003a22c	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_8003A234	0x8003a234	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_8003A23C	0x8003a23c	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_80042E20	0x80042e20	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_80044AE0	0x80044ae0	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_80044AE8	0x80044ae8	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_80044D10	0x80044d10	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_80044D18	0x80044d18	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_80044D6C	0x80044d6c	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_80044D74	0x80044d74	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_80044D7C	0x80044d7c	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_80044D84	0x80044d84	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_8009CFF8	0x8009cff8	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_800A1F94	0x800a1f94	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_8017A1C8	0x8017a1c8	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_8017C75C	0x8017c75c	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_8017C764	0x8017c764	0x0008
exact	tbsetCreate	0x800cf2f4	0x0008	fn_8017C76C	0x8017c76c	0x0008
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80003464	0x80003464	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8000A8A4	0x8000a8a4	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8000A8A8	0x8000a8a8	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8000AFB8	0x8000afb8	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80024D54	0x80024d54	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80024F0C	0x80024f0c	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80024F40	0x80024f40	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80027690	0x80027690	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8002782C	0x8002782c	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80027830	0x80027830	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80027BE0	0x80027be0	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80027BF4	0x80027bf4	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80027C54	0x80027c54	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80028234	0x80028234	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80028238	0x80028238	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_800282D8	0x800282d8	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_800282DC	0x800282dc	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_800282E0	0x800282e0	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_800282E4	0x800282e4	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8002A5D8	0x8002a5d8	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8002C240	0x8002c240	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8002C320	0x8002c320	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8002CEF0	0x8002cef0	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8002DBA4	0x8002dba4	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8002DBE0	0x8002dbe0	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8002DE14	0x8002de14	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8002E538	0x8002e538	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80037C1C	0x80037c1c	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80039BE0	0x80039be0	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80039CA4	0x80039ca4	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80039CA8	0x80039ca8	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80039CAC	0x80039cac	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80043F9C	0x80043f9c	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80044B20	0x80044b20	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80044D0C	0x80044d0c	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80044D48	0x80044d48	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80044D8C	0x80044d8c	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80044F24	0x80044f24	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80045000	0x80045000	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8004504C	0x8004504c	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_800472FC	0x800472fc	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80049A10	0x80049a10	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80066290	0x80066290	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80066494	0x80066494	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8006DF18	0x8006df18	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8007483C	0x8007483c	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8009CF2C	0x8009cf2c	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8009CFF0	0x8009cff0	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8009CFF4	0x8009cff4	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8009D238	0x8009d238	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_800AFF54	0x800aff54	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_800B5948	0x800b5948	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_800E631C	0x800e631c	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80146F1C	0x80146f1c	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_801508F4	0x801508f4	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_801623B8	0x801623b8	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_801680C8	0x801680c8	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8017203C	0x8017203c	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_801733E4	0x801733e4	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80174040	0x80174040	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80174CF8	0x80174cf8	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80175F78	0x80175f78	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8017C754	0x8017c754	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8017C758	0x8017c758	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8017C774	0x8017c774	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8017C778	0x8017c778	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_80182624	0x80182624	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8018A10C	0x8018a10c	0x0004
exact	GS_DrawPointList	0x800d0ea4	0x0004	fn_8018A110	0x8018a110	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80003464	0x80003464	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8000A8A4	0x8000a8a4	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8000A8A8	0x8000a8a8	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8000AFB8	0x8000afb8	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80024D54	0x80024d54	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80024F0C	0x80024f0c	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80024F40	0x80024f40	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80027690	0x80027690	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8002782C	0x8002782c	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80027830	0x80027830	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80027BE0	0x80027be0	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80027BF4	0x80027bf4	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80027C54	0x80027c54	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80028234	0x80028234	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80028238	0x80028238	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_800282D8	0x800282d8	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_800282DC	0x800282dc	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_800282E0	0x800282e0	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_800282E4	0x800282e4	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8002A5D8	0x8002a5d8	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8002C240	0x8002c240	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8002C320	0x8002c320	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8002CEF0	0x8002cef0	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8002DBA4	0x8002dba4	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8002DBE0	0x8002dbe0	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8002DE14	0x8002de14	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8002E538	0x8002e538	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80037C1C	0x80037c1c	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80039BE0	0x80039be0	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80039CA4	0x80039ca4	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80039CA8	0x80039ca8	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80039CAC	0x80039cac	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80043F9C	0x80043f9c	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80044B20	0x80044b20	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80044D0C	0x80044d0c	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80044D48	0x80044d48	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80044D8C	0x80044d8c	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80044F24	0x80044f24	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80045000	0x80045000	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8004504C	0x8004504c	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_800472FC	0x800472fc	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80049A10	0x80049a10	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80066290	0x80066290	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80066494	0x80066494	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8006DF18	0x8006df18	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8007483C	0x8007483c	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8009CF2C	0x8009cf2c	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8009CFF0	0x8009cff0	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8009CFF4	0x8009cff4	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8009D238	0x8009d238	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_800AFF54	0x800aff54	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_800B5948	0x800b5948	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_800E631C	0x800e631c	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80146F1C	0x80146f1c	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_801508F4	0x801508f4	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_801623B8	0x801623b8	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_801680C8	0x801680c8	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8017203C	0x8017203c	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_801733E4	0x801733e4	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80174040	0x80174040	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80174CF8	0x80174cf8	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80175F78	0x80175f78	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8017C754	0x8017c754	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8017C758	0x8017c758	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8017C774	0x8017c774	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8017C778	0x8017c778	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_80182624	0x80182624	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8018A10C	0x8018a10c	0x0004
exact	SetPixelShader	0x800d0fa8	0x0004	fn_8018A110	0x8018a110	0x0004
exact	NuDatOpenMem	0x800d4228	0x0008	fn_80024DC0	0x80024dc0	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_80024F10	0x80024f10	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_80027688	0x80027688	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_80027BE4	0x80027be4	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_8002C244	0x8002c244	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_80039D28	0x80039d28	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_8003A214	0x8003a214	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_8003A21C	0x8003a21c	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_8003A224	0x8003a224	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_8003A22C	0x8003a22c	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_8003A234	0x8003a234	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_8003A23C	0x8003a23c	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_80042E20	0x80042e20	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_80044AE0	0x80044ae0	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_80044AE8	0x80044ae8	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_80044D10	0x80044d10	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_80044D18	0x80044d18	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_80044D6C	0x80044d6c	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_80044D74	0x80044d74	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_80044D7C	0x80044d7c	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_80044D84	0x80044d84	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_8009CFF8	0x8009cff8	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_800A1F94	0x800a1f94	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_8017A1C8	0x8017a1c8	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_8017C75C	0x8017c75c	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_8017C764	0x8017c764	0x0008
exact	NuDatOpenMem	0x800d4228	0x0008	fn_8017C76C	0x8017c76c	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_80024DC0	0x80024dc0	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_80024F10	0x80024f10	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_80027688	0x80027688	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_80027BE4	0x80027be4	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_8002C244	0x8002c244	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_80039D28	0x80039d28	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_8003A214	0x8003a214	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_8003A21C	0x8003a21c	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_8003A224	0x8003a224	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_8003A22C	0x8003a22c	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_8003A234	0x8003a234	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_8003A23C	0x8003a23c	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_80042E20	0x80042e20	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_80044AE0	0x80044ae0	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_80044AE8	0x80044ae8	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_80044D10	0x80044d10	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_80044D18	0x80044d18	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_80044D6C	0x80044d6c	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_80044D74	0x80044d74	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_80044D7C	0x80044d7c	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_80044D84	0x80044d84	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_8009CFF8	0x8009cff8	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_800A1F94	0x800a1f94	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_8017A1C8	0x8017a1c8	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_8017C75C	0x8017c75c	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_8017C764	0x8017c764	0x0008
exact	NuDatSet	0x800d4230	0x0008	fn_8017C76C	0x8017c76c	0x0008
exact	GS_SetBlendSource	0x800d4240	0x0008	fn_80033E9C	0x80033e9c	0x0008
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80003464	0x80003464	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_8000A8A4	0x8000a8a4	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_8000A8A8	0x8000a8a8	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_8000AFB8	0x8000afb8	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80024D54	0x80024d54	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80024F0C	0x80024f0c	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80024F40	0x80024f40	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80027690	0x80027690	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_8002782C	0x8002782c	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80027830	0x80027830	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80027BE0	0x80027be0	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80027BF4	0x80027bf4	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80027C54	0x80027c54	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80028234	0x80028234	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80028238	0x80028238	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_800282D8	0x800282d8	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_800282DC	0x800282dc	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_800282E0	0x800282e0	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_800282E4	0x800282e4	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_8002A5D8	0x8002a5d8	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_8002C240	0x8002c240	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_8002C320	0x8002c320	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_8002CEF0	0x8002cef0	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_8002DBA4	0x8002dba4	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_8002DBE0	0x8002dbe0	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_8002DE14	0x8002de14	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_8002E538	0x8002e538	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80037C1C	0x80037c1c	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80039BE0	0x80039be0	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80039CA4	0x80039ca4	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80039CA8	0x80039ca8	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80039CAC	0x80039cac	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80043F9C	0x80043f9c	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80044B20	0x80044b20	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80044D0C	0x80044d0c	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80044D48	0x80044d48	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80044D8C	0x80044d8c	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80044F24	0x80044f24	0x0004
exact	XbPollPeripherals	0x800d48c8	0x0004	fn_80045000	0x80045000	0x0004
